上榜日,股票,代码,买日,买价,卖日,卖价,盈亏%,净买万,换手%,20日涨,RSI,连板
2024-11-18,*ST特迅,002227,2024-11-19,11.88,2024-11-20,13.6,14.48,4744.0,8.1,19,76,1
2023-09-26,大华股份,002236,2023-09-27,20.35,2023-09-28,20.38,0.15,19780.0,5.2,6,61,1
2025-06-19,盛新锂能,002240,2025-06-20,12.36,2025-06-23,12.22,-1.13,10512.0,8.5,6,63,1
2023-12-29,歌尔股份,002241,2024-01-02,20.5,2024-01-03,20.11,-1.9,36408.0,6.3,15,73,1
2023-10-09,歌尔股份,002241,2023-10-10,17.06,2023-10-11,16.62,-2.58,13905.0,6.3,12,65,1
2024-05-10,滨江集团,002244,2024-05-13,7.48,2024-05-14,7.63,2.01,7882.0,5.0,19,71,1
2024-05-27,北化股份,002246,2024-05-28,11.62,2024-05-29,11.49,-1.12,8823.0,8.2,47,69,1
2024-09-03,拓维信息,002261,2024-09-04,12.78,2024-09-05,12.45,-2.58,7436.0,9.8,19,69,1
2025-06-19,电科网安,002268,2025-06-20,17.63,2025-06-23,16.99,-3.63,15253.0,4.6,15,73,1
2025-06-24,光迅科技,002281,2025-06-25,48.05,2025-06-26,47.91,-0.29,29982.0,7.3,14,69,1
2025-02-21,光迅科技,002281,2025-02-24,57.02,2025-02-25,55.5,-2.67,19555.0,9.8,10,61,1
2025-03-03,永太科技,002326,2025-03-04,11.07,2025-03-05,11.51,3.97,5002.0,6.4,31,83,1
2024-03-27,皖通科技,002331,2024-03-28,7.92,2024-03-29,7.9,-0.25,3045.0,8.8,30,72,1
2023-05-24,英威腾,002334,2023-05-25,13.22,2023-05-26,12.7,-3.93,4030.0,9.2,13,72,1
2024-06-26,奥普光电,002338,2024-06-27,32.31,2024-06-28,32.31,0.0,4442.0,7.1,16,65,1
2023-08-08,精华制药,002349,2023-08-09,9.95,2023-08-10,10.0,0.5,6897.0,8.0,13,74,1
2023-10-18,大北农,002385,2023-10-19,7.39,2023-10-20,7.17,-2.98,15774.0,7.9,10,63,1
2023-01-13,省广集团,002400,2023-01-16,4.85,2023-01-17,4.72,-2.68,6623.0,6.6,10,73,1
2025-04-17,广联达,002410,2025-04-18,15.54,2025-04-21,15.03,-3.28,9654.0,4.3,5,65,1
2025-04-01,科伦药业,002422,2025-04-02,34.93,2025-04-03,35.89,2.75,14006.0,3.1,13,76,1
2023-12-04,云南锗业,002428,2023-12-05,13.86,2023-12-06,13.36,-3.61,9061.0,8.7,6,58,1
2023-08-30,九安医疗,002432,2023-08-31,36.47,2023-09-01,35.8,-1.84,23351.0,9.2,7,62,1
2025-07-10,晶澳科技,002459,2025-07-11,12.09,2025-07-14,11.62,-3.89,18229.0,6.5,19,81,1
2024-11-11,赣锋锂业,002460,2024-11-12,40.32,2024-11-13,43.02,6.7,38664.0,8.3,24,77,1
2023-08-21,*ST英飞,002528,2023-08-22,9.74,2023-08-23,9.73,-0.1,9148.0,9.0,20,71,1
2025-02-06,比亚迪,002594,2025-02-07,105.41,2025-02-10,107.68,2.15,40727.0,3.3,10,75,1
2025-08-18,领益智造,002600,2025-08-19,11.37,2025-08-20,12.63,11.08,26552.0,6.2,21,84,1
2024-08-29,领益智造,002600,2024-08-30,7.72,2024-09-02,8.55,10.75,17396.0,5.3,6,67,1
2023-06-09,世纪华通,002602,2023-06-12,7.54,2023-06-13,7.43,-1.46,6966.0,6.5,37,85,1
2024-08-12,以岭药业,002603,2024-08-13,16.99,2024-08-14,17.0,0.06,5994.0,3.5,14,76,1
2024-01-12,大连电瓷,002606,2024-01-15,8.58,2024-01-16,8.5,-0.93,3138.0,8.6,10,76,1
2025-08-20,光启技术,002625,2025-08-21,49.8,2025-08-22,48.49,-2.63,23720.0,4.1,27,71,1
2024-06-11,万润科技,002654,2024-06-12,12.4,2024-06-13,12.6,1.61,13556.0,8.4,25,72,1
2024-06-05,共达电声,002655,2024-06-06,11.58,2024-06-07,12.45,7.51,4726.0,8.9,11,71,1
2024-02-23,西部证券,002673,2024-02-26,6.75,2024-02-27,6.62,-1.93,13727.0,5.9,16,65,1
2025-09-15,天赐材料,002709,2025-09-16,30.6,2025-09-17,29.93,-2.19,29659.0,4.3,51,84,1
2024-04-09,天赐材料,002709,2024-04-10,24.6,2024-04-11,23.94,-2.68,3986.0,5.7,31,61,1
2024-03-14,湖南白银,002716,2024-03-15,3.1,2024-03-18,3.15,1.61,3823.0,8.8,43,77,1
2024-01-11,中矿资源,002738,2024-01-12,38.6,2024-01-15,37.55,-2.72,9120.0,6.6,13,70,1
2023-05-15,永兴材料,002756,2023-05-16,66.44,2023-05-17,64.5,-2.92,35425.0,8.0,17,56,1
2023-11-28,传艺科技,002866,2023-11-29,23.1,2023-11-30,22.36,-3.2,7121.0,9.4,15,60,1
2023-03-30,三利谱,002876,2023-03-31,46.76,2023-04-03,45.7,-2.27,5251.0,9.2,12,71,1
2024-06-11,东方嘉盛,002889,2024-06-12,12.99,2024-06-13,13.67,5.23,4191.0,7.0,14,65,1
2023-11-23,华阳集团,002906,2023-11-24,34.36,2023-11-27,34.57,0.61,4420.0,6.4,5,57,1
2025-10-13,亚世光电,002952,2025-10-14,21.49,2025-10-15,24.27,12.94,4459.0,6.9,5,60,1
2024-11-19,科大智能,300222,2024-11-20,11.52,2024-11-21,13.48,17.01,12506.0,9.9,28,65,1
2024-03-27,雅本化学,300261,2024-03-28,6.99,2024-03-29,7.19,2.86,12069.0,7.8,19,75,1
2024-03-26,联创股份,300343,2024-03-27,6.51,2024-03-28,6.3,-3.23,3113.0,9.7,15,73,1
2023-04-24,飞荣达,300602,2023-04-25,19.86,2023-04-26,20.92,5.34,3284.0,7.3,16,59,1
2024-05-29,欣锐科技,300745,2024-05-30,19.23,2024-05-31,19.8,2.96,4540.0,9.9,19,65,1
2024-11-18,中红医疗,300981,2024-11-19,13.05,2024-11-20,13.7,4.98,5660.0,8.4,24,69,1
2024-03-15,东风股份,600006,2024-03-18,7.76,2024-03-19,8.95,15.34,5628.0,9.3,36,76,1
2023-10-23,东风股份,600006,2023-10-24,6.43,2023-10-25,6.14,-4.51,9346.0,3.1,11,69,1
2023-03-07,东风股份,600006,2023-03-08,6.73,2023-03-09,6.47,-3.86,4395.0,4.5,12,80,1
2025-12-02,福建高速,600033,2025-12-03,4.2,2025-12-04,4.23,0.71,7228.0,6.0,12,66,1
2023-04-21,华润双鹤,600062,2023-04-24,19.56,2023-04-25,18.91,-3.32,30754.0,8.6,15,79,1
2025-11-10,冠城新材,600067,2025-11-11,4.67,2025-11-12,4.76,1.93,3609.0,8.1,48,74,1
2025-11-24,开创国际,600097,2025-11-25,14.04,2025-11-26,12.91,-8.05,3419.0,10.0,22,71,1
2023-02-22,中国卫星,600118,2023-02-23,28.12,2023-02-24,27.59,-1.88,4692.0,6.2,23,79,1
2023-06-28,郑州煤电,600121,2023-06-29,4.94,2023-06-30,4.79,-3.04,3701.0,3.4,9,74,1
2023-04-04,铁龙物流,600125,2023-04-06,5.87,2023-04-07,5.75,-2.04,4806.0,8.6,8,65,1
2025-10-09,东湖高新,600133,2025-10-10,10.09,2025-10-13,9.97,-1.19,6914.0,8.8,14,74,1
2025-11-28,航天机电,600151,2025-12-01,9.45,2025-12-02,9.57,1.27,6730.0,5.4,13,60,1
2025-08-28,华升股份,600156,2025-08-29,10.19,2025-09-01,9.69,-4.91,7325.0,5.9,42,73,1
2025-08-20,华升股份,600156,2025-08-21,9.0,2025-08-22,8.74,-2.89,4697.0,7.2,24,80,1
2025-03-26,华升股份,600156,2025-03-27,5.94,2025-03-28,5.77,-2.86,3406.0,4.7,8,63,1
2024-11-18,上海建工,600170,2024-11-19,2.76,2024-11-20,2.67,-3.26,10298.0,7.1,23,71,1
2025-09-24,黄河旋风,600172,2025-09-25,5.24,2025-09-26,5.15,-1.72,14596.0,9.9,11,69,1
2025-12-29,东安动力,600178,2025-12-30,13.16,2025-12-31,12.77,-2.96,9021.0,5.8,10,73,1
2025-08-19,全柴动力,600218,2025-08-20,10.85,2025-08-21,10.64,-1.94,4035.0,3.9,6,77,1
2025-10-29,南山铝业,600219,2025-10-30,4.3,2025-10-31,4.38,1.86,39935.0,5.6,21,75,1
2025-08-29,亨通股份,600226,2025-09-01,3.99,2025-09-02,3.83,-4.01,4806.0,6.1,32,79,1
2025-11-26,中恒集团,600252,2025-11-27,2.95,2025-11-28,2.85,-3.39,4670.0,4.1,6,60,1
2024-05-27,国电南自,600268,2024-05-28,6.2,2024-05-29,6.29,1.45,7043.0,8.4,7,67,1
2023-02-14,南钢股份,600282,2023-02-15,3.07,2023-02-16,3.07,0.0,3889.0,5.4,18,74,1
2023-12-05,大东方,600327,2023-12-06,5.85,2023-12-07,5.85,0.0,3139.0,7.5,24,68,1
2024-11-22,长春燃气,600333,2024-11-25,6.25,2024-11-26,7.49,19.84,5647.0,8.5,35,70,1
2025-01-15,红星发展,600367,2025-01-16,14.05,2025-01-17,14.43,2.7,6081.0,9.2,10,64,1
2024-12-24,五洲交通,600368,2024-12-25,5.43,2024-12-26,5.4,-0.55,4679.0,6.0,44,81,1
2024-05-17,金地集团,600383,2024-05-20,4.53,2024-05-21,4.66,2.87,4194.0,8.6,43,82,1
