代码,名称,上榜日,涨跌幅,换手率,净买额,净买占成交,龙虎额占市场,流通市值,买占比,收益,盈利
000002,万科A,2025-12-10,10.0629,6.5478,246.233615999997,0.0762542889694046,2865.061727900449,51011098052.25,0.5013307617114638,-0.9652509652509632,False
000021,深科技,2026-05-18,10.0119,6.016,45613.257264,13.1987210458488,2905.451924496895,58286770816.4,0.7271371440457456,3.6393264530146574,True
000021,深科技,2026-02-02,-10.0031,8.9706,-25105.736475,-5.917935691283133,2847.3195368739257,46009073332.8,0.3960788275667079,-2.090357383681729,False
000021,深科技,2025-10-17,-9.9869,12.83,-5707.226509,-1.00445869968579,2224.1308506163373,43057159888.2,0.4774190736258292,-1.9410496046010084,False
000021,深科技,2025-10-10,3.4573,24.5564,-9668.100299,-0.8214207278893271,2453.6831562283755,49845734001.96,0.4832614751867157,4.819277108433751,True
000021,深科技,2025-10-09,10.0108,11.2223,55149.27230599999,10.243256739822556,2901.165124108182,48180019057.38,0.6765369481161698,0.5383580080753791,True
000021,深科技,2025-10-09,10.0108,11.2223,80172.42585,7.24044152448233,2111.6864448167244,48180019057.38,0.6714374201305898,0.5383580080753791,True
000021,深科技,2025-09-24,9.9868,8.7227,19197.375403,5.873061030962585,2593.280827617889,39175733650.0,0.6132361171303883,-0.7642799678197809,False
000062,深圳华强,2026-06-02,10.0098,9.6623,42958.74771,13.17715183663978,2580.0112439718177,35025050581.04,0.755370046689295,-8.644400785854634,False
000062,深圳华强,2026-05-11,9.9887,8.3235,47507.668544,14.472490345616665,2657.0221956836817,40845144009.93,0.7723441747894909,-9.164556962025303,False
000062,深圳华强,2026-04-27,9.9884,10.2892,516.383012,0.1306361835564729,1904.8673474694128,39465875908.29,0.5034290099972059,-7.990568509300511,False
000062,深圳华强,2026-04-27,9.9884,10.2892,5082.20901199999,0.6613747556911744,1636.1489752175814,39465875908.29,0.5202113244487172,-7.990568509300511,False
000062,深圳华强,2026-04-24,9.9936,10.7316,9402.239119,2.519709388494623,1975.701547258736,35881868644.18,0.5637674600192194,8.22228522823929,True
000062,深圳华强,2026-04-07,10.0122,5.1717,15898.5741,11.067589754600208,2694.519007377245,28243649081.31,0.7053722709748674,-1.485673859214709,False
000062,深圳华强,2025-05-06,9.9922,6.174,11012.783388,6.361633718942568,1989.562905714412,29446099220.0,0.659875159027913,-0.3577817531305816,False
000062,深圳华强,2025-04-15,1.568,11.549,7683.666802,1.1679064184598469,1496.1435000591196,27074110390.0,0.5390305615207931,-3.570027461749703,False
000062,深圳华强,2025-04-14,10.0043,9.3486,2833.0251120000003,1.184085377561782,1624.7516045790348,26656138790.0,0.5364389662464304,-2.187260168841132,False
000062,深圳华强,2025-04-11,10.0095,4.3555,7216.950695999999,6.975145091861842,1877.996574527979,24231903510.0,0.6857070770646906,11.130063965884853,True
000062,深圳华强,2025-03-27,9.9863,3.1394,15264.7086,19.98079963610663,3592.895791010873,25088745290.0,0.778059826924245,0.170575692963748,True
000063,中兴通讯,2026-05-28,9.9943,5.5297,74968.233663,9.18362546951721,3030.4034614652314,154257893185.6,0.6515247983692051,-4.805194805194812,False
000063,中兴通讯,2025-12-11,-9.9952,10.8302,-26425.502857,-1.5619221282068052,2066.8176447150727,152314758112.14,0.4622143218052957,1.192411924119252,True
000063,中兴通讯,2025-12-01,10.0024,8.1259,153722.529094,10.48158540896242,2395.7775852891605,186466771565.1,0.71875122034121,-5.798618379736242,False
